Price,Close,High,Low,Open,Volume
Ticker,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X
Date,,,,,
2024-07-08,1.363800048828125,1.364590048789978,1.3624000549316406,1.363800048828125,0
2024-07-09,1.3629499673843384,1.3647099733352661,1.3628000020980835,1.3629499673843384,0
2024-07-10,1.3630000352859497,1.3642200231552124,1.360700011253357,1.3630000352859497,0
2024-07-11,1.3617199659347534,1.3638900518417358,1.3589099645614624,1.3617199659347534,0
2024-07-12,1.3624399900436401,1.363800048828125,1.3610999584197998,1.3624399900436401,0
2024-07-15,1.3645999431610107,1.3666800260543823,1.36312997341156,1.3645999431610107,0
2024-07-16,1.3675999641418457,1.3706899881362915,1.366420030593872,1.3675999641418457,0
2024-07-17,1.3669500350952148,1.3691500425338745,1.3655999898910522,1.3669500350952148,0
2024-07-18,1.3678699731826782,1.3698699474334717,1.3669999837875366,1.3678699731826782,0
2024-07-19,1.3702000379562378,1.374650001525879,1.3701000213623047,1.3702000379562378,0
2024-07-22,1.3707000017166138,1.3774499893188477,1.3708000183105469,1.3707000017166138,0
2024-07-23,1.3761199712753296,1.3774499893188477,1.375100016593933,1.3761199712753296,0
2024-07-24,1.3785799741744995,1.380660057067871,1.3775800466537476,1.3785799741744995,0
2024-07-25,1.3810299634933472,1.3844599723815918,1.3806999921798706,1.3810299634933472,0
2024-07-26,1.3819299936294556,1.3848199844360352,1.3800899982452393,1.3819299936294556,0
2024-07-29,1.3827999830245972,1.3864200115203857,1.3816399574279785,1.3827999830245972,0
2024-07-30,1.3855799436569214,1.3863699436187744,1.3837000131607056,1.3855799436569214,0
2024-07-31,1.3849600553512573,1.385740041732788,1.3787000179290771,1.3849600553512573,0
2024-08-01,1.3808300495147705,1.3848899602890015,1.3797199726104736,1.3808300495147705,0
2024-08-02,1.3880599737167358,1.3887499570846558,1.3833999633789062,1.3880599737167358,0
2024-08-05,1.3883099555969238,1.3940900564193726,1.380910038948059,1.3883099555969238,0
2024-08-06,1.3805299997329712,1.385349988937378,1.378909945487976,1.3805299997329712,0
2024-08-07,1.3786499500274658,1.378980040550232,1.3722100257873535,1.3786499500274658,0
2024-08-08,1.3754700422286987,1.376479983329773,1.372499942779541,1.3754700422286987,0
2024-08-09,1.3735400438308716,1.3748600482940674,1.3717999458312988,1.3735400438308716,0
2024-08-12,1.3735899925231934,1.3746800422668457,1.3717999458312988,1.3735899925231934,0
2024-08-13,1.3742300271987915,1.3746700286865234,1.3720300197601318,1.3742300271987915,0
2024-08-14,1.3709100484848022,1.3720999956130981,1.368899941444397,1.3709100484848022,0
2024-08-15,1.3715699911117554,1.373669981956482,1.369480013847351,1.3715699911117554,0
2024-08-16,1.37336003780365,1.373610019683838,1.3702000379562378,1.37336003780365,0
2024-08-19,1.3678300380706787,1.36844003200531,1.3635400533676147,1.3678300380706787,0
2024-08-20,1.3630000352859497,1.364109992980957,1.360509991645813,1.3630000352859497,0
2024-08-21,1.3617299795150757,1.362280011177063,1.3576099872589111,1.3617299795150757,0
2024-08-22,1.3583300113677979,1.3618199825286865,1.3571900129318237,1.3583300113677979,0
2024-08-23,1.3603399991989136,1.3603999614715576,1.350000023841858,1.3603399991989136,0
2024-08-26,1.3508000373840332,1.3513599634170532,1.346310019493103,1.3508000373840332,0
2024-08-27,1.3482099771499634,1.348770022392273,1.3451600074768066,1.3482099771499634,0
2024-08-28,1.3447699546813965,1.3478000164031982,1.343999981880188,1.3447699546813965,0
2024-08-29,1.3476999998092651,1.3489799499511719,1.3449000120162964,1.3476999998092651,0
2024-08-30,1.3489099740982056,1.3507299423217773,1.34660005569458,1.3489099740982056,0
2024-09-02,1.3488999605178833,1.3504600524902344,1.3483999967575073,1.3488999605178833,0
2024-09-03,1.3497300148010254,1.3561400175094604,1.3489999771118164,1.3497300148010254,0
2024-09-04,1.3543399572372437,1.3564499616622925,1.3499000072479248,1.3543399572372437,0
2024-09-05,1.3508100509643555,1.352429986000061,1.3502000570297241,1.3508100509643555,0
2024-09-06,1.3500100374221802,1.3570400476455688,1.3467700481414795,1.3500100374221802,0
2024-09-09,1.3562099933624268,1.357550024986267,1.3551000356674194,1.3562099933624268,0
2024-09-10,1.3564000129699707,1.361449956893921,1.3559999465942383,1.3564000129699707,0
2024-09-11,1.3609600067138672,1.362239956855774,1.357200026512146,1.3609600067138672,0
2024-09-12,1.3578399419784546,1.3603700399398804,1.3564000129699707,1.3578399419784546,0
2024-09-13,1.3575799465179443,1.3594399690628052,1.3562999963760376,1.3575799465179443,0
2024-09-16,1.3577699661254883,1.3607100248336792,1.3565000295639038,1.3577699661254883,0
2024-09-17,1.3586299419403076,1.3614699840545654,1.357800006866455,1.3586299419403076,0
2024-09-18,1.3592100143432617,1.3607100248336792,1.3575999736785889,1.3592100143432617,0
2024-09-19,1.3610700368881226,1.3646999597549438,1.3532700538635254,1.3610700368881226,0
2024-09-20,1.3562699556350708,1.3588900566101074,1.3543000221252441,1.3562699556350708,0
2024-09-23,1.3564200401306152,1.358180046081543,1.3489400148391724,1.3564200401306152,0
2024-09-24,1.3529499769210815,1.3531099557876587,1.3464900255203247,1.3529499769210815,0
2024-09-25,1.3421000242233276,1.3468400239944458,1.3418999910354614,1.3421000242233276,0
2024-09-26,1.3482199907302856,1.3488500118255615,1.3458199501037598,1.3482199907302856,0
2024-09-27,1.3475699424743652,1.3504999876022339,1.3464299440383911,1.3475699424743652,0
2024-09-30,1.3508800268173218,1.3526699542999268,1.3489799499511719,1.3508800268173218,0
2024-10-01,1.352720022201538,1.3538999557495117,1.3488999605178833,1.352720022201538,0
2024-10-02,1.3494600057601929,1.3494600057601929,1.347190022468567,1.3494600057601929,0
2024-10-03,1.3504899740219116,1.3551100492477417,1.3506100177764893,1.3504899740219116,0
2024-10-04,1.3548200130462646,1.3588900566101074,1.3544000387191772,1.3548200130462646,0
2024-10-07,1.3579200506210327,1.3618500232696533,1.3572499752044678,1.3579200506210327,0
2024-10-08,1.361799955368042,1.3674700260162354,1.3609999418258667,1.361799955368042,0
2024-10-09,1.3652000427246094,1.3693699836730957,1.3647700548171997,1.3652000427246094,0
2024-10-10,1.3709299564361572,1.376729965209961,1.370300054550171,1.3709299564361572,0
2024-10-11,1.3745700120925903,1.3779499530792236,1.3724600076675415,1.3745700120925903,0
2024-10-14,1.378119945526123,1.3800499439239502,1.377079963684082,1.378119945526123,0
2024-10-15,1.3802900314331055,1.3837499618530273,1.3794000148773193,1.3802900314331055,0
2024-10-16,1.3781100511550903,1.3792599439620972,1.3767999410629272,1.3781100511550903,0
2024-10-17,1.375499963760376,1.3791500329971313,1.374750018119812,1.375499963760376,0
2024-10-18,1.3795700073242188,1.3808900117874146,1.378499984741211,1.3795700073242188,0
2024-10-21,1.3799599409103394,1.3848799467086792,1.3799999952316284,1.3799599409103394,0
2024-10-22,1.3833500146865845,1.3837300539016724,1.3814500570297241,1.3833500146865845,0
2024-10-23,1.3816200494766235,1.3861299753189087,1.3815799951553345,1.3816200494766235,0
2024-10-24,1.3836699724197388,1.3860399723052979,1.3811999559402466,1.3836699724197388,0
2024-10-25,1.3853299617767334,1.3885600566864014,1.3838000297546387,1.3853299617767334,0
2024-10-28,1.3895599842071533,1.3907599449157715,1.388260006904602,1.3895599842071533,0
2024-10-29,1.3889800310134888,1.3919099569320679,1.3875999450683594,1.3889800310134888,0
2024-10-30,1.3912800550460815,1.3939299583435059,1.3901000022888184,1.3912800550460815,0
2024-10-31,1.3907999992370605,1.3944400548934937,1.389140009880066,1.3907999992370605,0
2024-11-01,1.3935199975967407,1.3941500186920166,1.3903499841690063,1.3935199975967407,0
2024-11-04,1.3918800354003906,1.3922200202941895,1.3874000310897827,1.3918800354003906,0
